,age,job,marital,education,default,housing_loan,personal_loan,last_contact_month,day_of_week,num_contact_compaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,term_deposit
0,30,blue-collar,married,basic.9y,no,yes,no,may,fri,2,0,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
1,39,services,single,high.school,no,no,no,may,fri,4,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
2,25,services,married,high.school,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
4,47,admin.,married,university.degree,no,yes,no,nov,mon,1,0,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
5,32,services,single,university.degree,no,no,no,sep,thu,3,0,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no
6,32,admin.,single,university.degree,no,yes,no,sep,mon,4,0,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no
7,41,entrepreneur,married,university.degree,no,yes,no,nov,mon,2,0,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
8,31,services,divorced,professional.course,no,no,no,nov,tue,1,0,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no
9,35,blue-collar,married,basic.9y,no,no,no,may,thu,1,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
10,25,services,single,basic.6y,no,yes,no,jul,thu,1,0,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
11,36,self-employed,single,basic.4y,no,no,no,jul,thu,1,0,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
12,36,admin.,married,high.school,no,no,no,may,wed,2,0,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
13,47,blue-collar,married,basic.4y,no,yes,no,jun,thu,2,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
14,29,admin.,single,high.school,no,no,no,may,fri,2,0,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
15,27,services,single,university.degree,no,no,no,jul,wed,2,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
16,44,admin.,divorced,university.degree,no,no,no,jul,wed,6,0,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
17,46,admin.,divorced,university.degree,no,yes,no,jul,mon,4,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
18,45,entrepreneur,married,university.degree,no,yes,yes,aug,mon,2,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
19,50,blue-collar,married,basic.4y,no,no,yes,jul,tue,1,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
20,55,services,married,basic.6y,no,yes,no,jul,tue,6,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
21,39,technician,divorced,high.school,no,no,no,mar,mon,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes
22,29,technician,single,university.degree,no,yes,yes,aug,wed,3,0,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
23,40,management,married,high.school,no,no,yes,aug,wed,1,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
24,44,technician,married,professional.course,no,yes,no,may,fri,7,0,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
25,38,technician,married,professional.course,no,yes,no,aug,mon,1,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
26,36,technician,divorced,professional.course,no,no,no,may,wed,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
27,28,blue-collar,married,basic.6y,no,no,no,may,mon,2,0,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
28,47,admin.,single,N/A,no,no,no,may,thu,1,0,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
29,34,admin.,married,university.degree,no,no,no,aug,tue,1,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30,38,technician,married,university.degree,no,yes,yes,mar,tue,1,0,1,failure,-1.8,92.843,-50.0,1.687,5099.1,no
31,33,services,married,high.school,no,yes,no,jun,mon,3,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
32,51,technician,single,university.degree,no,no,no,jun,fri,2,0,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
33,30,blue-collar,single,basic.4y,no,yes,no,jun,tue,1,0,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
34,48,technician,married,university.degree,no,no,no,aug,thu,7,0,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
35,28,blue-collar,single,basic.9y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
